RSD ALGORITHM rho=4
iter; objective; relative_gap; active_vertices; alphas
139; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[140]=0.06278157 
140; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[141]=0.07530659 
141; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[142]=0.06278157 
142; 35759712.8994174376; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[143]=0.07530659 
143; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[144]=0.06278157 
144; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[145]=0.07530659 
145; 35763254.9785133675; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[146]=0.06278157 
146; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[147]=0.07530659 
147; 35763254.9785133675; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[148]=0.06278157 
148; 35759712.8994174376; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[149]=0.07530659 
149; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[150]=0.06278157 
150; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[151]=0.07530659 
151; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[152]=0.06278157 
152; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[153]=0.07530659 
153; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[154]=0.06278157 
154; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[155]=0.07530659 
155; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[156]=0.06278157 
156; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[157]=0.07530659 
157; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[158]=0.06278157 
158; 35759712.8994174376; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[159]=0.07530659 
159; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[160]=0.06278157 
160; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[161]=0.07530659 
161; 35763254.9785133675; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[162]=0.06278157 
162; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[163]=0.07530659 
163; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[164]=0.06278157 
164; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[165]=0.07530659 
165; 35763254.9785133675; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[166]=0.06278157 
166; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[167]=0.07530659 
167; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[168]=0.06278157 
168; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[169]=0.07530659 
169; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[170]=0.06278157 
170; 35759712.8994174153; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[171]=0.07530659 
171; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[172]=0.06278157 
172; 35759712.8994174376; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[173]=0.07530659 
173; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[174]=0.06278157 
174; 35759712.8994174376; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[175]=0.07530659 
175; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[176]=0.06278157 
176; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[177]=0.07530659 
177; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[178]=0.06278157 
178; 35759712.8994174376; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[179]=0.07530659 
179; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[180]=0.06278157 
180; 35759712.8994174376; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[181]=0.07530659 
181; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[182]=0.06278157 
182; 35759712.8994174376; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[183]=0.07530659 
183; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[184]=0.06278157 
